BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
1,0.0,0.06459466039113852,0.03901478313591288,0.21951219512195122,0.0,0.0,0.08647361412863556,0.07692307692307693,0.125,0.2530538708932473,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.0011337868480725648,0.059406191674105324,0.04453658754928729,0.2682926829268293,0.0,0.0,0.07559799323786605,0.0,0.125,0.2514583490590354,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.006802721088435375,0.24672867808163598,0.20306771433105597,0.04878048780487805,0.0,0.0,0.07750465955775396,0.0,0.203125,0.2145113085113306,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.007936507936507936,0.07553710541264302,0.05356394428552245,0.29268292682926833,0.0,0.0,0.059948240163713126,0.07692307692307693,0.328125,0.2610760549412259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.007936507936507936,0.2367853809948876,0.1954218259797439,0.0975609756097561,0.0,0.0,0.07991891688529867,0.0,0.203125,0.20121054549593823,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.013605442176870753,0.25073287754605206,0.18587972476429585,0.024390243902439025,0.0,0.0,0.0818804334726313,0.0,0.203125,0.20378680614603964,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.013605442176870753,0.25180810273472365,0.202557038978161,0.04878048780487805,0.0,0.0,0.08653723718189839,0.0,0.203125,0.20284312687146927,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.013605442176870753,0.006781019232329788,0.09532335312285098,0.3902439024390244,0.30000000000000004,0.0,0.10423316608956097,0.15384615384615385,0.125,0.24675976557415055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.013605442176870753,0.1442576888744624,0.10126224298380893,0.04878048780487805,0.0,0.0,0.24176040202751273,0.23076923076923078,0.578125,0.33741178982912123,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.014739229024943314,0.25230767670210175,0.20464653534239663,0.04878048780487805,0.0,0.0,0.07313028545911314,0.0,0.21875,0.21779890658274464,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.017006802721088437,0.17697597987503044,0.13452938519570462,0.17073170731707318,0.0,0.0,0.21421128893405927,0.0,0.1875,0.2934888067707156,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.018140589569160998,0.3181094295220319,0.2912945111555098,0.21951219512195122,0.0,0.6000000000000001,0.16425001498370037,0.0,0.515625,0.2434058357247224,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.02154195011337869,0.24247595958776272,0.19043307711401283,0.14634146341463417,0.0,0.0,0.0753448752404684,0.0,0.21875,0.19919951036710432,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.02154195011337869,0.11984956990992453,0.08717085854496182,0.4878048780487805,0.0,0.0,0.17451195649581172,0.0,0.3125,0.13695623959207326,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.02267573696145125,0.03241144607644242,0.0,0.12195121951219512,0.0,0.0,0.11066663270395909,0.07692307692307693,0.140625,0.179951663464877,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.02380952380952381,0.11691552381725227,0.0860925400707214,0.4878048780487805,0.0,0.0,0.1740658279018911,0.0,0.3125,0.13413886277238646,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.024943310657596373,0.06294124807270957,0.05048971935235786,0.2682926829268293,0.0,0.0,0.12471584128691378,0.0,0.21875,0.1649153674170651,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.024943310657596373,0.24615302686034243,0.19856929518663047,0.04878048780487805,0.0,0.0,0.0726104756079572,0.0,0.203125,0.1988533507083924,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.026077097505668934,0.2538140063296275,0.18642702225405183,0.024390243902439025,0.0,0.0,0.08070084946977166,0.0,0.203125,0.19918126613357523,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.026077097505668934,0.12544378398117342,0.08267040483737736,0.5121951219512195,0.0,0.0,0.17563735554152088,0.0,0.296875,0.14627357284404888,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
