LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,BAD
-1.6051791000177484,-1.0135943694392733,-1.2277276469004723,-0.014520000087874987,-0.253433593566163,-0.34444859666162175,-0.960978689366094,-0.0241718541955201,-1.5037553934652899,0.3746007263396874,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,-0.4550084082703297,1.2711660558416848,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,1
-1.595982684536505,-1.0589716232020692,-1.178129788929535,0.24879687482108084,-0.253433593566163,-0.34444859666162175,-1.1144397499572403,-0.6695219931933751,-1.5037553934652899,0.34583181745752417,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,-0.4550084082703297,1.2711660558416848,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,1
-1.5500006071302885,0.5793113586895255,0.24582580990519684,-0.9361290622692204,-0.253433593566163,-0.34444859666162175,-1.087535627555203,-0.6695219931933751,-0.9710433943480579,-0.32036153708688886,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,2.197761583794469,-0.786679281911649,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,0
-1.5408041916490454,-0.9178940517528295,-1.0970444183263481,0.3804553122755588,-0.253433593566163,-0.34444859666162175,-1.3352664713803268,-0.0241718541955201,-0.1187041957604867,0.5192490018841136,-1.5430179916686213,1.5430179916686213,2.544711291198975,-0.4550084082703297,-0.786679281911649,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,1
-1.5408041916490454,0.4923493782379505,0.177149041204098,-0.6728121873602646,-0.253433593566163,-0.34444859666162175,-1.0534691136755763,-0.6695219931933751,-0.9710433943480579,-0.5601880509258962,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,2.197761583794469,-0.786679281911649,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,0
-1.4948221142428288,0.6143312431917027,0.0914401414680273,-1.0677874997236982,-0.253433593566163,-0.34444859666162175,-1.0257910234881304,-0.6695219931933751,-0.9710433943480579,-0.5137354068377774,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,2.197761583794469,-0.786679281911649,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,0
-1.4948221142428288,0.623734936053592,0.24123883040972696,-0.9361290622692204,-0.253433593566163,-0.34444859666162175,-0.9600809326927212,-0.6695219931933751,-0.9710433943480579,-0.5307509201839234,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,2.197761583794469,-0.786679281911649,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,0
-1.4948221142428288,-1.5192202889330266,-0.7219537643641198,0.9070890620934704,4.92399925313367,-0.34444859666162175,-0.7103815320249146,0.621178284802335,-1.5037553934652899,0.26111149758885016,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,-0.4550084082703297,1.2711660558416848,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,1
-1.4948221142428288,-0.31687831386524185,-0.668609568558237,-0.9361290622692204,-0.253433593566163,-0.34444859666162175,1.2302042698504934,1.26652842380019,1.5859742014146558,1.8956612541974875,0.6480805832462129,-0.6480805832462129,2.544711291198975,-0.4550084082703297,-0.786679281911649,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,1
-1.4856256987615855,0.6281041046710264,0.26000706922186867,-0.9361290622692204,-0.253433593566163,-0.34444859666162175,-1.1492604794364976,-0.6695219931933751,-0.8645009945246115,-0.2610827435726643,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,2.197761583794469,-0.786679281911649,-0.6039088361275574,-0.12651975563281845,-0.17413096407391437,0
-1.467232867799099,-0.03073103720463977,-0.36979800787924094,-0.2778368749968308,-0.253433593566163,-0.34444859666162175,0.8414709592534861,-0.6695219931933751,-1.0775857941715044,1.103684441129184,-1.5430179916686213,1.5430179916686213,-0.39297188779668457,-0.4550084082703297,-0.786679281911649,1.6558790668013674,-0.12651975563281845,-0.17413096407391437,0
